,past,present,future,swear,affect,posemo,negemo,anx,anger,sad,discrep
gdpr,0.018231331690508237,0.0820610533195859,0.015233533247592386,0.0023031787273213446,0.041675202357355196,0.027546304056725916,0.013504075702102332,0.0019272628348372448,0.005557168395677622,0.0028402781022548547,0.02346348196522109
vehicle-to-vehicle,0.04524385070715436,0.07703560756419851,0.01456768734699782,0.010094277943892461,0.058348057540412245,0.03781583952771204,0.028640067034508245,0.009548509125637412,0.010993507101876545,0.016292176583175246,0.042806580057042125
targeted advertising,0.030327312192585335,0.08579725232985179,0.008418705870649692,0.011739498597777998,0.05290032511085121,0.03017376960889022,0.025409422578775567,0.004265396497768827,0.013123014937448557,0.004089784976113724,0.018586331629387616
internet access,0.024491484542857506,0.08041688265227866,0.010903080251631522,0.00395644798655876,0.04617297238079724,0.027785045429021982,0.01842094495465587,0.0018883783980734412,0.008816385128766256,0.002507638876234154,0.019980063216275955
wealth concentration,0.0204781621321505,0.10595750945245026,0.010331212686902486,0.03106548419819843,0.0637852592360508,0.051335821669935694,0.018829185354743157,0.0027300345518934096,0.013143339735790478,0.0047758065337829385,0.019120994251234105
digital health,0.029433700425572005,0.07727301147918147,0.014329642122508786,0.014384096344700623,0.051748778437167915,0.03589788288353858,0.025773631151624607,0.00296665630583131,0.016729001708284872,0.004942279535448168,0.02985022354507253
google,0.02212907607307836,0.06831917779194684,0.00770247111502948,0.00349272778705742,0.04429209945808827,0.026478113167173686,0.0179058889187349,0.002099483627804271,0.008393731471022785,0.0022754280020555137,0.015534872694799197
apple inc,0.033896515304353954,0.0778709113456033,0.010077976744249744,0.006711819000860539,0.0490778749942845,0.03078560515101678,0.02001190348644662,0.0029542833706200445,0.009284638659419777,0.00372361055848199,0.024512056956780156
tencent,0.023188847168115135,0.08302576364723706,0.010816290669429423,0.004114217023588174,0.057802600993599865,0.037979216414975925,0.02046093279921535,0.002433297541946369,0.010284393328688357,0.0031000575129667596,0.017626454312992066
chinese tech,0.02293366324811779,0.0813054771450837,0.01231403974896883,0.005494447023779266,0.052187795586974034,0.03376181354711546,0.020464925088154173,0.0026724932437139862,0.010511511449826478,0.00574005269624349,0.020779307079177203
gps,0.028129111101042367,0.07944688818694065,0.009648566630640716,0.003169041908814398,0.04460614530519718,0.026977653319385585,0.01750047680842556,0.0020867583287172906,0.007261637506231897,0.002597038684562557,0.018967329512225833
information privacy,0.07066591195038027,0.08134509989981772,0.0196078431372549,,0.03199047238630107,0.034570406591374066,0.013990995333956096,,0.0032679738562091504,0.017857142857142856,0.028788153809470203
economic inequality,0.02132657479399799,0.08183428258997975,0.01161086218885377,0.0041289474300927175,0.060167028453429174,0.0355147799449304,0.025045948781692067,0.002644612540552017,0.011772756150804723,0.0043644505425216055,0.02046443758274684
future proof,0.017289462569959935,0.08181008553304724,0.015778203978495144,0.0018145110327891748,0.04611433283915665,0.03351105119546196,0.01269223033522206,0.0018580527271298147,0.004415925974128406,0.0023532934454711793,0.022326105640000298
open-source hardware,0.01161829660859772,0.10119467273376766,0.019449482907269378,,0.06401389421247677,0.04673834246009393,0.0220870634164473,0.0099542844157352,0.008674305271806156,0.0012610340479192938,0.03749455265540467
personal cloud,0.022732392911866548,0.08356551043004427,0.014626355903178971,0.003523346501688834,0.04336579349074737,0.033055058292288594,0.010073985770837282,0.004035719593970094,0.004192382233116925,0.004789422224074588,0.024764317634707173
quantum network,0.07643168225597273,0.16560503522926065,0.017164732778524476,0.0026246719160104987,0.0326499977383458,0.022947465432012877,0.027642192116747268,0.014506964191076803,0.008689107608352972,0.02740731830089508,0.04024877788125269
