sentiment,keyword,RC_2017-01.csv,RC_2017-02.csv,RC_2017-03.csv,RC_2017-04.csv,RC_2017-05.csv,RC_2017-06.csv,RC_2017-07.csv,RC_2017-08.csv,RC_2017-09.csv,RC_2017-10.csv,RC_2017-11.csv,RC_2017-12.csv,RC_2018-01.csv,RC_2018-02.csv,RC_2018-03.csv,RC_2018-04.csv,RC_2018-05.csv,RC_2018-06.csv,RC_2018-07.csv,RC_2018-08.csv
num_comments,future proof,449.0,271.0,2.0,708.0,546.0,1401.0,383.0,319.0,200.0,372.0,360.0,709.0,578.0,275.0,487.0,597.0,445.0,373.0,1285.0,532.0
num_comments,open-source hardware,26.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,5.0,3.0,5.0,29.0,0.0,7.0,0.0,14.0,1.0
num_comments,personal cloud,8.0,28.0,1.0,32.0,40.0,43.0,31.0,46.0,109.0,39.0,15.0,33.0,41.0,8.0,32.0,12.0,26.0,15.0,34.0,104.0
num_comments,quantum network,4.0,10.0,0.0,3.0,2.0,8.0,36.0,0.0,2.0,70.0,0.0,4.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0
num_comments,cryptocurrency,1068.0,508.0,27.0,1464.0,4735.0,9301.0,5901.0,12405.0,13983.0,9441.0,15954.0,37399.0,71348.0,47202.0,32116.0,30247.0,25133.0,29193.0,20958.0,18057.0
num_comments,recommender systems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,multidisciplinary approach,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,1.0,0.0
num_comments,virtualization,240.0,271.0,28.0,347.0,292.0,353.0,344.0,308.0,218.0,176.0,317.0,437.0,450.0,393.0,636.0,348.0,343.0,299.0,300.0,498.0
num_comments,regulatory technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
num_comments,quantum computing,235.0,130.0,7.0,254.0,269.0,230.0,291.0,109.0,1902.0,468.0,319.0,837.0,535.0,567.0,306.0,288.0,342.0,730.0,710.0,510.0
num_comments,digital currency,382.0,102.0,3.0,155.0,238.0,722.0,482.0,278.0,536.0,552.0,514.0,769.0,844.0,379.0,514.0,371.0,528.0,268.0,674.0,152.0
num_comments,artificial neural network,39.0,4.0,0.0,28.0,81.0,18.0,8.0,93.0,0.0,4.0,311.0,65.0,28.0,22.0,31.0,9.0,18.0,20.0,146.0,74.0
num_comments,brain-computer interface,10.0,1037.0,0.0,48.0,37.0,22.0,59.0,40.0,50.0,27.0,51.0,11.0,247.0,6.0,15.0,11.0,40.0,27.0,7.0,5.0
num_comments,privacy,14854.0,10756.0,336.0,39190.0,15090.0,12739.0,9682.0,15506.0,14308.0,11918.0,20807.0,13950.0,21922.0,14430.0,30681.0,39040.0,35683.0,20096.0,18534.0,17990.0
num_comments,mass surveillance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,image recognition,25.0,16.0,0.0,27.0,13.0,25.0,33.0,26.0,29.0,99.0,36.0,67.0,45.0,41.0,23.0,105.0,20.0,9.0,112.0,94.0
num_comments,privacy policy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,general data protection regulation,0.0,0.0,0.0,11.0,0.0,3.0,0.0,3.0,3.0,3.0,6.0,3.0,3.0,13.0,33.0,486.0,499.0,107.0,26.0,12.0
num_comments,cloud native,4.0,2.0,0.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,11.0,1.0,22.0,1.0,12.0,1.0,16.0,8.0,6.0,5.0
num_comments,cybersecurity,2950.0,1114.0,25.0,1510.0,3318.0,1175.0,2465.0,7399.0,904.0,1673.0,992.0,866.0,1249.0,2122.0,745.0,1404.0,1928.0,2114.0,2102.0,1695.0
num_comments,distance education,15.0,2.0,0.0,19.0,5.0,15.0,27.0,12.0,15.0,23.0,13.0,10.0,7.0,22.0,19.0,24.0,18.0,25.0,9.0,2.0
num_comments,industry 4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,iot,321501.0,374155.0,2404.0,168393.0,156043.0,151268.0,166248.0,227465.0,327548.0,376745.0,258776.0,377490.0,433748.0,404055.0,202532.0,194428.0,182136.0,180421.0,212442.0,263765.0
num_comments,decentralisation,6.0,5.0,0.0,202.0,22.0,247.0,61.0,30.0,77.0,40.0,37.0,46.0,221.0,130.0,218.0,45.0,419.0,186.0,115.0,105.0
num_comments,open source,3688.0,4572.0,261.0,4256.0,4086.0,4353.0,4337.0,5012.0,6908.0,6770.0,5680.0,6084.0,6615.0,5365.0,6779.0,6054.0,5256.0,6932.0,5139.0,7539.0
num_comments,robot consciousness,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
num_comments,scalability,317.0,279.0,6.0,133.0,60.0,501.0,224.0,307.0,332.0,339.0,431.0,1197.0,1404.0,498.0,511.0,249.0,1118.0,609.0,459.0,430.0
num_comments,ncsc,86.0,7.0,0.0,0.0,1.0,6.0,10.0,5.0,1.0,18.0,1.0,1.0,2.0,1.0,0.0,10.0,1.0,39.0,22.0,12.0
num_comments,social networking service,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,9.0,0.0,7.0,2.0
num_comments,social inequality,508.0,27.0,0.0,38.0,24.0,9.0,110.0,6.0,27.0,132.0,66.0,528.0,53.0,38.0,2441.0,54.0,3833.0,1141.0,117.0,225.0
num_comments,swarm intelligence,9.0,24.0,0.0,0.0,0.0,54.0,26.0,10.0,1.0,4.0,11.0,6.0,11.0,6.0,43.0,5.0,18.0,3.0,50.0,59.0
num_comments,cambridge analytica,41.0,97.0,2.0,79.0,126.0,91.0,223.0,319.0,28.0,1386.0,368.0,1863.0,10.0,194.0,57716.0,6633.0,9589.0,3412.0,359.0,577.0
num_comments,data ownership,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,2.0,1.0,0.0,0.0,62.0,0.0,7.0,24.0,46.0
num_comments,participatory democracy,0.0,6.0,0.0,14.0,0.0,2.0,29.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,7.0,42.0,0.0,1.0
num_comments,peer-to-peer,92.0,127.0,2.0,181.0,568.0,54.0,321.0,339.0,1015.0,246.0,242.0,471.0,449.0,226.0,202.0,398.0,475.0,315.0,264.0,479.0
num_comments,privacy by design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,6.0,4.0
num_comments,digital economy,88.0,33.0,0.0,80.0,137.0,11.0,46.0,378.0,23.0,25.0,91.0,19.0,137.0,34.0,174.0,26.0,102.0,58.0,55.0,61.0
num_comments,data scandal,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,5689.0,1109.0,260.0,57.0,359.0,3.0
num_comments,fake news,106210.0,95401.0,538.0,38368.0,33638.0,44354.0,40304.0,31718.0,22638.0,29095.0,35374.0,45834.0,51235.0,38182.0,27690.0,22147.0,19812.0,25962.0,42234.0,27093.0
num_comments,network security,229.0,55.0,4.0,281.0,163.0,265.0,136.0,232.0,106.0,130.0,271.0,125.0,595.0,124.0,81.0,137.0,120.0,215.0,209.0,440.0
num_comments,decentralization,283.0,478.0,5.0,368.0,298.0,218.0,182.0,239.0,411.0,234.0,360.0,1210.0,1827.0,793.0,1116.0,760.0,1786.0,1050.0,1553.0,1203.0
num_comments,ubiquitous computing,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,ai chip,0.0,0.0,0.0,0.0,114.0,19.0,122.0,5.0,256.0,67.0,35.0,256.0,24.0,23.0,2.0,82.0,5.0,29.0,16.0,454.0
num_comments,living lab,2.0,3.0,0.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,1.0,0.0,248.0,12.0,33.0,6.0,0.0,0.0,0.0,1.0
num_comments,computer-supported collaboration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_comments,global education,6.0,4.0,0.0,6.0,1.0,1.0,1.0,2.0,34.0,41.0,25.0,40.0,156.0,37.0,19.0,0.0,20.0,35.0,7.0,2.0
num_comments,internet of things,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
